PAIMS_ADDRESS.CIVIC_ADDRESS,PAIMS_ADDRESS.CITY,Data Conversion.CIVIC_ADDRESS,Data Conversion.CITY,ErrorCode,ErrorColumn
927-hidden,PORT ALBERNI,927-hidden,PORT ALBERNI,-1071607778,0
935-hidden,Armstrong,935-hidden,Armstrong,-1071607778,0
936-hidden,Vernon,936-hidden,Vernon,-1071607778,0
937-hidden,Richmond,937-hidden,Richmond,-1071607778,0
938-hidden,Richmond,938-hidden,Richmond,-1071607778,0
939-hidden,Richmond,939-hidden,Richmond,-1071607778,0
945-hidden,Grindrod, B.C.,945-hidden,Grindrod, B.C.,-1071607778,0
946-hidden,Grindrod, B.C.,946-hidden,Grindrod, B.C.,-1071607778,0
955-hidden,UNION BAY,955-hidden,UNION BAY,-1071607778,0
956-hidden,UNION BAY,956-hidden,UNION BAY,-1071607778,0
957-hidden,UNION BAY,957-hidden,UNION BAY,-1071607778,0
958-hidden,UNION BAY,958-hidden,UNION BAY,-1071607778,0
965-hidden,Vernon,965-hidden,Vernon,-1071607778,0
975-hidden,Tappen,975-hidden,Tappen,-1071607778,0
985-hidden,Ladysmith,985-hidden,Ladysmith,-1071607778,0
995-hidden,Princeton,995-hidden,Princeton,-1071607778,0
1005-hidden,UNION BAY,1005-hidden,UNION BAY,-1071607778,0
1006-hidden,Qualicum Beach,1006-hidden,Qualicum Beach,-1071607778,0
1015-hidden,Williams Lake,1015-hidden,Williams Lake,-1071607778,0
1025-hidden,VICTORIA,1025-hidden,VICTORIA,-1071607778,0
1026-hidden,VICTORIA,1026-hidden,VICTORIA,-1071607778,0
1027-hidden,VICTORIA,1027-hidden,VICTORIA,-1071607778,0
1028-hidden,Qualicum Beach,1028-hidden,Qualicum Beach,-1071607778,0
1029-hidden,Lillooet,1029-hidden,Lillooet,-1071607778,0
355-hidden,VICTORIA,355-hidden,VICTORIA,-1071607778,0
361-hidden,Kelowna,361-hidden,Kelowna,-1071607778,0
362-hidden,Kamloops,362-hidden,Kamloops,-1071607778,0
363-hidden,Kamloops,363-hidden,Kamloops,-1071607778,0
364-hidden,Kamloops,364-hidden,Kamloops,-1071607778,0
365-hidden,Kamloops,365-hidden,Kamloops,-1071607778,0
366-hidden,Kamloops,366-hidden,Kamloops,-1071607778,0
367-hidden,Kamloops,367-hidden,Kamloops,-1071607778,0
368-hidden,Burns Lake,368-hidden,Burns Lake,-1071607778,0
371-hidden,,371-hidden,,-1071607778,0
372-hidden,Lakeview Heights,372-hidden,Lakeview Heights,-1071607778,0
374-hidden,YELLOWPOINT,374-hidden,YELLOWPOINT,-1071607778,0
377-hidden,GABRIOLA ISLAND,377-hidden,GABRIOLA ISLAND,-1071607778,0
379-hidden,YELLOWPOINT,379-hidden,YELLOWPOINT,-1071607778,0
378-hidden,Fort St. John,378-hidden,Fort St. John,-1071607778,0
381-hidden,COURTENAY,381-hidden,COURTENAY,-1071607778,0
382-hidden,VICTORIA,382-hidden,VICTORIA,-1071607778,0
383-hidden,Heffley, BC,383-hidden,Heffley, BC,-1071607778,0
391-hidden,Rayleigh,391-hidden,Rayleigh,-1071607778,0
392-hidden,Heffley, BC,392-hidden,Heffley, BC,-1071607778,0
394-hidden,Kamloops,394-hidden,Kamloops,-1071607778,0
395-hidden,Princeton,395-hidden,Princeton,-1071607778,0
1376-hidden,Delta,1376-hidden,Delta,-1071607778,0
1377-hidden,Pitt Meadows,1377-hidden,Pitt Meadows,-1071607778,0
103-hidden,Nanaimo,103-hidden,Nanaimo,-1071607778,0
104-hidden,Duncan,104-hidden,Duncan,-1071607778,0
105-hidden,Nanaimo,105-hidden,Nanaimo,-1071607778,0
106-hidden,Nanaimo,106-hidden,Nanaimo,-1071607778,0
107-hidden,Nanaimo,107-hidden,Nanaimo,-1071607778,0
108-hidden,Merritt,108-hidden,Merritt,-1071607778,0
109-hidden,Merritt,109-hidden,Merritt,-1071607778,0
110-hidden,Merritt,110-hidden,Merritt,-1071607778,0
111-hidden,Merritt,111-hidden,Merritt,-1071607778,0
112-hidden,Duncan,112-hidden,Duncan,-1071607778,0
115-hidden,Kamloops,115-hidden,Kamloops,-1071607778,0
116-hidden,Williams Lake,116-hidden,Williams Lake,-1071607778,0
117-hidden,Cedar,117-hidden,Cedar,-1071607778,0
118-hidden,Cedar,118-hidden,Cedar,-1071607778,0
121-hidden,Penticton,121-hidden,Penticton,-1071607778,0
122-hidden,Kamloops,122-hidden,Kamloops,-1071607778,0
123-hidden,Barriere, BC,123-hidden,Barriere, BC,-1071607778,0
124-hidden,Craigellachie,124-hidden,Craigellachie,-1071607778,0
125-hidden,Creston,125-hidden,Creston,-1071607778,0
126-hidden,Chase,126-hidden,Chase,-1071607778,0
127-hidden,Hope,127-hidden,Hope,-1071607778,0
129-hidden,Craigellachie,129-hidden,Craigellachie,-1071607778,0
525-hidden,Port Alberni,525-hidden,Port Alberni,-1071607778,0
526-hidden,Port Alberni,526-hidden,Port Alberni,-1071607778,0
